hashtag_bridge_k,hashtag_x
1,thingsdonebymistake
2,theolderweget
3,blacklivesmatter
4,wakeupamerica
5,tvlifelessonsilearned
6,my911story
7,teapartynews
8,trumpbecause
9,debates
10,reallifemagicspells
11,politics
12,trumpsfavoriteheadline
13,news
14,news
15,rapstationradio
16,pjnet
17,breaking
18,artknb
19,politics
20,maketvshowsaustralian
21,lesdeplorables
21,trump
22,miami
23,crackup
24,p2
25,unlikelythingsheardatwalmart
26,blackgirlsmagic
26,michelleobama
27,sports
28,thingsyoucantignore
29,offendeveryonein4words
30,politics
31,debatenight
31,trump
31,trumppence16
32,trump
33,merkelmussbleiben
34,renamemillionwomenmarch
35,fightclub
36,itsriskyto
37,weedsillegalbut
38,hooks
39,beunclassyin4words
40,basketofdeplorables
40,redeye
41,todolistbeforechristmas
42,sachsenanhalt
43,gulfstatestalks
44,alternativeacronyminterpretations
45,crookedhillary
46,myemmynominationwouldbe
47,hillaryforprison2016
48,blackpantherspbs
49,civilselects
50,lastminutegifts2016
51,politics
52,hipsterschoolsupplieslist
53,deplorables
53,electionday
53,trump
53,trumpforpresident
53,trumppence16
53,trumptrain
54,staywoke
55,teapartynews
56,fishtv
57,reasoniamnotpresident
58,valentinesdayin3words
59,guns4ny
60,decision2016
61,wakeupamerica
62,texas
63,frozen
64,1
65,merkelmussbleiben
66,merkel
67,prayers4california
68,microphone
69,cancelplansin5words
70,basketofdeplorables
70,hillaryshealth
70,maga
71,oscarssowhite
72,ruinadinnerinonephrase
73,hillaryclinton
73,wassermanschultz
74,jeffsessions
75,maga
75,podestaemails26
75,riggedsystem
76,acab
77,potus
78,millennials
79,ifinditfunnyhow
80,m
81,congress
82,thingsdonebymistake
83,politics
84,topnews
85,crookedcruz
86,addasongruinamovie
87,clintonscandals
87,thursdaythoughts
87,yoga
88,fitbit
89,artist
90,hillaryforprison2016
91,thingsyoucantignore
92,resist
93,hillaryclinton
93,imwithher
94,us
95,redneckamovie
96,fbi
97,maga
98,migrationisbeautiful
99,ihavearighttoknow
100,rejecteddebatetopics
101,imwithher
102,itsriskyto
103,abortion
103,trump
104,makemehateyouinonephrase
105,itsriskyto
106,merkelmussbleiben
107,money
108,television
109,islamkills
110,songcontest
111,hastert
112,pormiculpa
113,thingsthatdisturbme
114,trumpahorrormovie
115,draintheswamp
116,ccot
117,politics
118,fireworks
119,politics
120,topnews
121,maketvshowscanadian
122,dumpthedems
123,thingsmoretrustedthanhillary
124,politics
125,bb4sp
126,neverforget
126,sundaymorning
126,trump
127,alec
127,gop
128,puremagic
129,pearlharborremembranceday
130,istand
131,pizzagate
132,birddogging
132,hillary
133,politics
134,louisiana
135,ruinadinnerinonephrase
136,isiswatchingyou
137,ikeepwonderingif
138,2017survivaltips
139,blacklivesmatter
140,breaking
141,conservativenews
141,policticalnews
142,ccot
142,neverhillary
142,nevertrump
142,tcot
143,thefirst100daystodolist
144,bigbucksnowhammies
145,angelamerkel
146,christmasaftermath
147,ihavearighttoknow
148,addcartoonstohistory
149,topvideo
150,potuslasttweet
151,defunddapl
151,nodapl
152,obamacare
153,sometimesitsokto
154,makemehateyouinonephrase
155,storify
156,ihavearighttoknow
157,thingsyoucantignore
158,secondhandgifts
159,dncleak
160,todolistbeforechristmas
161,rmcsuccessstory
162,itsmuchbetterto
163,nba
164,itsriskyto
165,todolistbeforech
166,imtoooldfor
167,drunkbands
