mention_bridge_k,user_k
1,10004
1,10089
1,10622
2,10009
3,10009
3,12188
4,10011
5,10012
6,10013
6,10673
7,10014
8,10014
8,12143
9,10015
10,10016
11,10018
11,10775
12,10021
13,10026
14,10033
15,10035
16,10035
16,10751
17,10036
18,10042
19,10042
19,11763
20,10045
21,10046
22,10047
23,10048
23,13050
24,1004
24,5525
25,10050
26,10052
27,10053
28,10056
29,10057
29,10622
30,1005
30,12732
31,1006
32,10060
33,10062
34,10065
35,10066
36,10067
37,10068
38,10069
39,10074
40,10076
41,10077
42,10081
43,10083
43,10622
44,10090
45,10092
46,10093
46,10587
47,10094
48,10098
48,11719
49,10101
50,10102
51,10104
52,10107
52,10622
53,10109
53,10622
53,11729
54,10112
55,10113
56,10115
57,10117
58,10117
58,10622
59,1011
59,5253
60,10123
60,12252
61,1012
61,5092
61,8989
61,9374
61,9414
61,13471
61,13562
62,10130
63,10132
64,10134
65,10137
66,1013
66,11462
67,1013
67,11462
67,11767
67,13687
68,10140
69,10141
70,10144
71,10144
71,10622
72,10147
72,13931
73,1014
73,12412
74,10150
75,10151
75,10622
76,10158
77,10159
78,10160
78,10278
78,10622
79,10166
80,10167
81,10167
81,10832
81,11524
82,10168
83,10169
84,1017
85,10170
86,10172
86,11524
87,10173
88,10173
88,10622
89,10173
89,12019
89,13256
90,10174
90,11868
91,10174
91,13114
92,10175
93,10177
94,10179
95,10180
96,10183
97,10184
97,10622
98,10185
99,10189
100,1019
101,10190
102,10191
103,10193
104,10196
105,10198
106,10205
107,10207
107,13287
108,10208
109,1020
109,1979
110,10212
111,10213
112,10214
113,10215
114,10217
115,10217
115,10278
116,10217
116,10573
117,10217
117,10622
118,10217
118,11760
119,10217
119,11783
120,10217
120,13320
121,10217
121,13393
122,10218
123,10219
124,1022
125,10220
126,10221
127,10223
128,10224
129,10225
130,10228
131,1022
131,13931
132,1022
132,3920
133,1023
134,10231
135,10237
135,10658
136,10237
136,12097
137,10238
138,10238
138,10239
139,1023
139,10622
139,13208
140,1024
141,10241
142,10242
143,10242
143,13793
144,10243
145,10244
145,12499
146,10245
147,10246
148,10247
149,10249
150,10249
150,10622
151,10250
152,10252
153,10267
154,10267
154,10622
155,10269
156,1026
156,1564
156,5525
157,1026
157,7099
158,1027
159,10271
160,10276
160,14113
161,10278
162,10278
162,10419
163,10278
163,10425
164,10278
164,10622
165,10278
165,10622
165,12771
166,10278
166,10673
167,10278
167,10741
168,10278
168,10949
168,11629
168,11719
168,11958
168,13486
169,10278
169,10981
170,10278
170,11357
170,13899
171,10278
171,11381
172,10278
172,11385
172,13823
172,13948
173,10278
173,11582
174,10278
174,11590
174,13899
175,10278
175,12333
176,10278
176,12675
177,10278
177,12799
178,10278
178,12828
179,10278
179,12846
180,10278
180,13170
181,10278
181,13244
182,10278
182,13491
183,10278
183,13693
184,10278
184,13727
185,10278
185,13894
185,13899
186,10278
186,13899
187,10278
187,13931
188,10278
188,13977
189,10278
189,14052
190,10279
191,1027
191,1829
192,1027
192,2879
193,1027
193,4433
194,1027
194,5244
194,9788
195,1027
195,9174
196,1027
196,9550
197,1028
198,10285
199,10288
199,13795
200,10289
201,1028
201,1350
202,10290
202,13846
203,10291
204,10296
205,10296
205,10539
206,10296
206,11971
207,10296
207,13271
208,10296
208,13513
209,10297
210,10299
211,1030
212,10302
213,10303
214,10303
214,10622
215,10303
215,13544
216,10307
216,10622
217,10310
218,10311
219,10313
220,10314
221,10316
222,10317
223,10321
223,10622
223,12977
224,10323
225,10325
225,10328
225,10330
225,13247
226,10326
227,10328
228,10328
228,13931
229,1033
230,10334
231,10337
232,10347
233,10349
234,10349
234,10751
234,11565
234,12019
235,10354
236,10355
237,10355
237,13826
238,10356
239,10357
240,10358
241,10359
242,10362
243,10363
244,10364
245,10365
245,10622
245,12218
246,10368
247,1036
247,7768
248,10371
249,10374
249,12653
249,14124
250,1037
250,3867
250,10622
251,10380
251,10622
251,11695
252,10382
252,10622
253,10383
254,10385
255,10388
256,1038
256,1199
256,1271
256,7812
257,10390
258,10391
259,10392
260,10395
261,10402
262,10408
263,10409
263,13320
264,1041
265,10411
266,10413
267,10415
268,10416
269,10418
269,12412
270,10419
271,1041
271,10513
272,1042
273,10420
274,10422
274,10622
275,10425
276,10426
277,10428
278,10429
278,13856
279,10430
280,10431
280,11435
281,10433
282,10435
283,1044
284,10440
284,10622
285,10441
286,10444
287,10448
288,1044
288,3065
289,1044
289,7644
289,10622
289,13567
290,10450
291,10456
292,10458
292,12445
293,1046
294,10460
295,10460
295,10640
296,10460
296,11772
296,13992
297,10460
297,12507
298,10461
298,11235
299,10463
300,10464
301,10465
302,10467
303,10468
304,1047
305,10471
306,10473
307,10474
308,10476
309,10477
310,10481
311,10484
311,13607
312,10486
313,10489
314,10495
314,11652
315,10497
316,10499
317,105
318,1050
319,10500
320,10502
321,10503
322,10504
323,10506
324,10507
324,11444
325,10510
326,10514
327,10517
328,10518
329,10519
329,10622
330,10521
331,10522
332,10524
333,10524
333,10600
334,10524
334,14187
335,10527
336,10529
337,10530
338,10533
338,10622
339,10534
340,10535
341,10536
342,10537
343,10538
344,1053
344,2457
344,6231
344,11733
345,1053
345,3411
346,10542
347,10545
348,10548
349,10549
350,10550
351,10552
352,10556
353,10564
354,10565
355,10568
356,10569
357,1057
358,10571
358,13931
359,10572
359,13208
360,10578
361,1057
361,4708
362,1057
362,7376
362,7644
362,10622
363,1058
364,10581
365,10583
366,10585
367,10587
367,12979
368,10589
369,10590
370,10592
371,10593
372,10594
373,10596
374,10598
374,10751
375,10599
376,10600
377,10600
377,10622
378,10600
378,13229
379,10604
380,10606
381,10607
382,10609
383,10610
384,10613
385,10613
385,10622
386,10615
387,10615
387,10622
387,13359
388,10618
389,10619
390,1061
390,3499
390,8363
390,10156
390,12056
391,10622
392,10622
392,10638
393,10622
393,10660
394,10622
394,10718
395,10622
395,10749
396,10622
396,10798
397,10622
397,10804
398,10622
398,10869
399,10622
399,10874
400,10622
400,10946
401,10622
401,11003
402,10622
402,11034
402,12133
403,10622
403,11052
404,10622
404,11094
404,11865
405,10622
405,11148
406,10622
406,11154
406,12022
406,12700
406,13088
406,13159
407,10622
407,11187
408,10622
408,11204
409,10622
409,11240
410,10622
410,11263
410,13208
411,10622
411,11280
412,10622
412,11297
413,10622
413,11302
414,10622
414,11333
415,10622
415,11346
415,14200
416,10622
416,11358
417,10622
417,11391
418,10622
418,11398
419,10622
419,11480
420,10622
420,11481
421,10622
421,11502
422,10622
422,11524
423,10622
423,11524
423,12723
424,10622
424,11524
424,13340
425,10622
425,11548
425,12604
426,10622
426,11565
426,12019
426,12519
426,13630
427,10622
427,11577
428,10622
428,11590
429,10622
429,11672
430,10622
430,11694
431,10622
431,11698
432,10622
432,11747
433,10622
433,11761
434,10622
434,11840
434,12796
435,10622
435,11853
436,10622
436,11856
437,10622
437,11897
438,10622
438,11998
439,10622
439,12002
440,10622
440,12054
441,10622
441,12087
442,10622
442,12127
443,10622
443,12127
443,13100
444,10622
444,12149
445,10622
445,12182
446,10622
446,12187
447,10622
447,12225
448,10622
448,12226
448,14133
449,10622
449,12239
450,10622
450,12318
451,10622
451,12419
452,10622
452,12425
453,10622
453,12427
454,10622
454,12432
455,10622
455,12444
456,10622
456,12499
457,10622
457,12519
457,13820
458,10622
458,12564
459,10622
459,12608
460,10622
460,12621
461,10622
461,12676
462,10622
462,12700
463,10622
463,12721
464,10622
464,12723
465,10622
465,12765
466,10622
466,12814
467,10622
467,12819
468,10622
468,12832
469,10622
469,12964
470,10622
470,12997
471,10622
471,13023
472,10622
472,13028
473,10622
473,13062
474,10622
474,13113
475,10622
475,13230
476,10622
476,13238
477,10622
477,13243
478,10622
478,13265
479,10622
479,13272
480,10622
480,13274
481,10622
481,13281
482,10622
482,13289
483,10622
483,13303
484,10622
484,13320
485,10622
485,13322
486,10622
486,13329
487,10622
487,13332
488,10622
488,13335
489,10622
489,13338
490,10622
490,13340
491,10622
491,13344
492,10622
492,13360
493,10622
493,13365
494,10622
494,13432
495,10622
495,13497
496,10622
496,13511
497,10622
497,13525
498,10622
498,13567
499,10622
499,13602
500,10622
500,13660
501,10622
501,13722
502,10622
502,13785
503,10622
503,13795
504,10622
504,13820
505,10622
505,13859
506,10622
506,13866
507,10622
507,13899
508,10622
508,14070
509,10622
509,14208
510,10623
511,10624
512,10625
513,10627
514,10628
515,10628
515,14238
516,10632
517,10633
518,10635
519,10637
520,10638
521,10638
521,13722
522,1063
522,13172
523,10640
523,12006
524,10641
524,12733
525,10642
526,10643
527,10644
528,10645
529,10645
529,11500
530,10646
531,10648
532,10649
533,10650
534,10652
535,10653
536,10656
537,10658
538,10658
538,11849
539,10659
540,1065
540,2879
540,4708
540,9017
540,10622
541,1066
542,10661
543,10663
544,10664
545,10666
546,10668
547,1067
548,10670
549,10673
550,10673
550,10906
550,11509
551,10673
551,12969
551,14187
552,10673
552,14187
553,10675
554,10677
555,1067
555,10622
556,1067
556,12519
557,1067
557,2240
558,1067
558,3902
559,1068
560,10680
561,10681
562,10685
563,10686
564,1068
564,10622
565,1068
565,5962
566,10690
567,10699
568,1069
568,12814
569,10700
570,10701
571,10704
571,13820
572,10707
573,10708
574,1070
574,4779
575,1071
576,10711
577,10713
578,10714
579,10716
580,10717
581,10718
582,1071
582,13524
583,10721
584,10722
585,10724
586,10724
586,12519
587,10724
587,12667
588,10728
589,10729
590,1072
590,1822
591,1072
591,8549
592,10730
593,10734
594,10736
595,10739
596,10740
597,10742
598,10743
599,10744
600,10746
601,10748
602,10749
603,10751
603,11972
604,10751
604,13373
605,10753
606,10754
606,11850
606,12779
607,10756
608,10760
609,10762
610,10767
611,10768
612,10769
613,1077
614,10770
614,13549
615,10771
616,10774
617,10775
618,10778
619,1077
619,10278
620,1079
621,10792
622,10793
623,10794
624,10798
625,1079
625,2908
625,6667
625,7906
625,11524
626,1079
626,4180
626,7417
627,1079
627,5525
628,1079
628,5525
628,8035
629,1080
630,10800
631,10801
632,10802
633,10804
634,10805
635,10807
636,1081
637,10811
638,10812
639,10813
640,10813
640,11561
640,11573
641,10814
642,10817
643,10818
644,10819
645,10825
646,10825
646,10831
647,10827
648,1082
648,2553
648,11638
649,10832
650,10833
650,12833
650,14013
651,10837
652,1083
652,4516
652,5525
652,5672
653,1084
654,10840
655,10846
656,1085
657,10852
658,10855
659,10860
660,10861
661,10863
661,13931
662,10864
663,10865
664,10869
665,1086
665,9776
666,1087
667,10870
668,10871
669,10872
669,11548
670,10874
671,10875
672,10879
673,1087
673,10622
674,10880
675,10880
675,11524
676,10885
677,10888
678,10889
679,10891
680,10892
681,10893
682,10895
683,10896
684,10896
684,10997
685,10896
685,13352
686,10896
686,13623
687,10896
687,13722
688,10899
689,1089
689,3553
689,4569
689,4822
689,5414
689,7566
689,13992
689,14187
690,10905
691,10908
692,10909
693,1091
694,10910
695,10915
696,10918
697,10921
698,10923
699,10925
700,10926
701,1093
702,10930
703,10931
704,10933
705,10934
706,10935
707,10938
708,10940
709,10941
710,10943
711,10944
712,10945
713,10946
714,10947
715,10948
716,1095
717,10954
718,10956
719,1096
720,10961
721,10962
722,10963
723,10966
724,10969
725,10970
726,10974
727,10976
727,12697
728,1097
728,5975
728,9719
729,1098
730,10980
731,10982
732,10987
733,10988
734,10993
735,10995
736,10996
737,10998
738,1100
739,11006
740,11007
740,11157
741,11008
742,1100
742,1748
743,1101
744,11016
745,11017
746,1101
746,12732
747,1101
747,1332
748,1101
748,2004
748,10622
748,10846
749,1101
749,6756
750,1101
750,6756
750,8748
750,10622
750,10846
751,1101
751,7073
751,10622
751,10846
752,1101
752,9812
752,10846
753,11021
753,11920
754,11022
754,13722
755,11023
756,11025
757,11029
758,11029
758,11652
759,1102
759,4202
760,1102
760,9372
761,11032
762,11033
762,11790
763,11034
764,11038
765,1103
765,13121
766,1104
767,11040
768,11042
769,11043
770,11044
771,11045
772,11047
773,11048
774,11049
775,1104
775,10622
776,1104
776,14187
777,1104
777,3337
777,10622
778,1104
778,3337
778,3902
779,1105
780,11052
781,11054
782,11057
782,14187
783,11059
784,11060
785,11060
785,11940
786,11061
787,11062
788,11063
789,11069
790,1106
790,4708
790,5525
791,1107
792,11071
793,11073
794,11073
794,13123
795,11075
796,11076
797,11077
798,11078
799,11079
800,1107
800,2912
800,6967
800,7113
800,8756
800,9236
800,10622
800,12022
800,12499
800,13689
801,1108
802,11084
803,11085
804,11086
805,1109
806,11091
807,11094
807,11156
807,11157
808,11094
808,12315
808,12754
809,11096
810,11098
811,11100
812,11103
813,11106
814,11109
815,11110
816,11111
817,11115
818,11121
819,11122
820,11123
821,11124
822,11128
823,1112
823,7362
823,10622
823,13595
824,11131
825,11134
826,1114
827,11142
828,11146
829,11148
830,11150
831,11151
832,11154
833,11156
834,11157
835,11157
835,11904
836,11157
836,13931
837,11159
838,11159
838,13513
839,1116
840,11160
841,11162
842,11164
843,11165
844,11168
845,1116
845,14021
846,1116
846,8092
847,1117
848,11170
849,11173
850,11176
851,1118
852,11183
852,12706
853,11187
854,11188
855,11189
856,1118
856,1139
856,3843
856,5525
856,8787
856,10622
857,1118
857,11695
858,1118
858,2741
858,7058
858,7218
858,7580
858,7940
858,10622
858,11856
858,13690
859,1118
859,2879
859,7374
860,1119
861,11193
862,11198
863,11199
864,11202
865,11206
866,11208
867,11209
868,11210
869,11211
870,11212
871,11217
872,11219
873,1122
874,11220
875,11220
875,11951
875,13844
876,11220
876,14187
877,11222
878,11225
879,11227
880,11228
881,1123
882,11231
883,11236
884,11239
885,1123
885,3834
885,5525
886,11240
887,11249
888,11250
889,11254
890,11255
891,11260
891,14235
892,11261
893,11269
894,1126
894,2370
894,10103
894,11658
894,12500
895,1127
896,11272
897,11273
898,11275
899,11277
899,12368
900,11278
901,11279
902,1128
903,11284
904,11288
905,1128
905,12128
905,13602
906,1129
907,11290
