user_k,handle_n,alias_n,bio_x,followers_t,statuses_t,favorites_t,friends_t,listed_t,verified_f,politician_f,media_f,location_x,language_n,timezone_n,created_y,created_s,user_c,russian_troll_f
1,scottgohard,#ezekiel2517?...,"celebrity trainer ?#424w147th? #crossfitcoach #nsca #irepresentintellectualviolence...robinson cano,ice t,missy elliott, #eaglesdontflyinflocks...",1053,31858,2774,1055,35,FALSE,,,still ??block??corner??street,english,,12/29/2009,12/29/2009 23:15,100345056,TRUE
2,beckster319,b e c k s t e r?,rebecca lynn hirschfeld actress.model.writer.amateur race car driver. ~ adorkable,650,6742,7273,896,30,FALSE,,,"chicago, il",english,mountain time (us & canada),2/4/2011,2/4/2011 6:38,247165706,TRUE
3,skatewake1994,chris osborne,,44,843,227,154,1,FALSE,,,,english,,2/9/2011,2/9/2011 7:38,249538861,TRUE
4,kadirovrussia,?????? ???????,"?????????? ???????. ????????? ??, ??? ????????? ?? ????????? ??????????",94773,10877,0,7,691,FALSE,,,,russian,moscow,12/29/2011,12/29/2011 11:31,449689677,TRUE
5,margosavazh,????????? ?????,????? ????. ????? ????? ?? ????.,23305,18401,1480,8021,231,FALSE,,,"?????-?????????, ??????",russian,volgograd,1/23/2012,1/23/2012 10:26,471868887,TRUE
6,darknally,dark nally,uptodate news!!!!,22,22603,0,40,16,FALSE,,,amerika,indonesian,jakarta,12/27/2012,12/27/2012 13:06,1039581360,TRUE
7,lagonehoe,laila heats,how can you judge me when you don’t know me?,3080,2228,3504,2369,12,FALSE,,,usa,english,eastern time (us & canada),6/12/2013,6/12/2013 13:07,1510488662,TRUE
8,youjustctrlc,cc jack,problack | stoner | even jesus was stoned before receiving the throne | #blacktolive | #blacklivesmatter,2760,2100,2744,2700,10,FALSE,,,usa,english,eastern time (us & canada),6/13/2013,6/13/2013 16:07,1513801268,TRUE
9,mrmoraan,mr moran,i'm getting too cool for this social media shiz. that cynical bastard you hate to love.,879,2044,2981,758,15,FALSE,,,"philadelphia, pa",english,eastern time (us & canada),6/14/2013,6/14/2013 21:58,1517678892,TRUE
10,nojonathonno,jonathon norwood,strive not to be a success but rather to be of value #blm #bforlife,789,2002,2170,440,8,FALSE,,,usa,english,eastern time (us & canada),6/15/2013,6/15/2013 8:47,1518857420,TRUE
11,charlesjharper,harper h21,if you don't like me-it's ok,1956,3300,1850,1626,21,FALSE,,,atl,english,eastern time (us & canada),6/20/2013,6/20/2013 4:49,1532863891,TRUE
12,prettylaraplace,lara pretty,bitter clinger #usafvet #nra #2a #bluestarmom #crossfit #christian,1795,3342,3555,1360,24,FALSE,,,usa,english,eastern time (us & canada),6/20/2013,6/20/2013 12:35,1533813962,TRUE
13,bigboyjasiah,jasiah jenkins,visionary..... don't put me in a box.... enigma... unconditional love. i'm the good guy. if u heard otherwise you been lied to,728,1918,2342,393,19,FALSE,,,"chicago, il",english,eastern time (us & canada),7/10/2013,7/10/2013 23:55,1584279696,TRUE
